Card,What They are Going Through and How to Support Them,
A♥,"What They’re Going Through:
This is personal motivation meets emotional clarity—aka, the ""I need to feel like myself again"" era. They’re craving something real, raw, and meaningful. Whether it’s falling in love with a passion project, quitting a people-pleasing pattern, or just needing space to feel something—this energy wants them to start something that actually lights them up from the inside.
How to Love Them Through It:
Be their safe space. Don’t rush them. Ask questions like, “What feels true for you right now?” instead of offering unsolicited solutions. Celebrate their tiny wins and big feelings. Encourage their solo time—this isn’t distance, it’s restoration. And if they want to cry and create in the same hour? Pass the tissues and the vision board supplies.",
A♣,"What They’re Going Through:
This is “idea explosion” energy. Their brain’s a Pinterest board of podcast titles, business ideas, Google Docs, and shower thoughts. It’s exciting and overwhelming. Clarity’s coming, but first? Chaos. Let it.
How to Love Them Through It:
Let them ramble. Seriously—half their genius comes out when they talk it through. Offer to be their sounding board (no fixing, just listening). Say, “That’s a dope idea!” more than “But how would that work?” And please—don’t kill their flow with critiques before they’ve even finished dreaming.",
A♦,"What They’re Going Through:
This is new money energy—but not just any money. It’s money that aligns with their values, their vision, and their vibes. They’re feeling called to earn in ways that reflect who they are now, not who they had to be to survive. Cue: pricing shifts, passion offers, and ""wait… I can actually get paid to be this version of me?""
How to Love Them Through It:
Support their new standards. Don’t panic if they raise their rates or start canceling low-energy commitments—they’re leveling up. Ask how you can help them feel abundant and aligned. Remind them they don’t have to choose between money and meaning—they can have both, and you believe that too.",
A♠,"What They’re Going Through:
This is the “begin again” card. They’re outgrowing old titles, outdated dreams, and dusty definitions of success. It’s not just a rebrand—it’s a rebirth. Something deep inside is saying, “We’re not doing it that way anymore,” and they’re finally listening. Scary? Yes. Sacred? Also yes.
How to Love Them Through It:
Mirror back their evolution. Don’t cling to who they used to be—celebrate who they’re becoming. Offer space, not pressure. Say things like, “I love watching you come home to yourself,” instead of “You’ve changed.” Support their transformation even if you don’t fully understand it yet. That’s love in action.",
2♥,"What They’re Going Through:
They’re in their “I need real connection or I will spiral” phase. Every interaction feels deeper, louder, more intimate than usual. They might be craving closeness, sorting through emotional messiness, or questioning who actually feels safe to love. Think “heart expansion with a side of vulnerability hangover.”
How to Love Them Through It:
Don’t flinch when they feel deeply. Be soft with them, but sturdy too—they’re not looking for someone to fix them, just someone who won’t bail mid-heartquake. Show up consistently. Send the text. Ask real questions. Tell them how you feel. They want connection that feels like truth, not performance.",
2♣,"What They’re Going Through:
They’re all about communication right now—texts, calls, long convos that feel like TED Talks mixed with heart-to-hearts. But here’s the thing: it’s not just about talking. It’s about being heard, understood, and mentally met. Their ideas need a dance partner, not a dismissive shrug.
How to Love Them Through It:
Listen like it’s your love language. Ask questions. Follow up on their ideas—even the random ones. Say “tell me more” instead of “that doesn’t make sense.” Validate their thoughts before you critique them. They’ll feel the love in your attention span more than your compliments.",
2♦,"What They’re Going Through:
They’re rethinking what “us vs. the world” looks like—financially. Whether it’s redefining shared goals or deciding who’s pulling what weight, they’re looking at value, money, and collaboration with fresh eyes. It’s not about being transactional—it’s about building something together that feels equitable.
How to Love Them Through It:
Talk money without getting weird. Be transparent, be willing, be curious. Ask what financial partnership means to them. Share your own vision without shaming theirs. Make aligned goals sexy again—because for them, love and values are in the details.",
2♠,"What They’re Going Through:
They’re in the mood to share the load—or maybe they need to and just don’t know how to ask. They’re learning the difference between independence and isolation. This is the “I can’t do it all by myself anymore” energy, even if they’ve been pretending otherwise.
How to Love Them Through It:
Offer support without making it seem like they’re slacking. Say, “How can I help?” and mean it. Don’t let them drown silently in to-do lists or emotional weight. Be their co-pilot, not their manager. And remind them: asking for help isn’t weakness—it’s wisdom.",
3♥,"What They’re Going Through:
They’re feeling all the things, all at once, and none of it is on schedule. One minute they’re writing love poems, the next they’re ready to ghost everyone and move to Portugal. This is emotional creativity in full color—big heart, big swings, and big “don’t box me in” energy.
How to Love Them Through It:
Let them change their mind without punishing them. Be their anchor, not their cage. Invite them into joy—even the silly, spontaneous kind. If they need to vent, let them. If they want to dance it out, join them. Remind them that love doesn’t have to be logical to be real.",
3♣,"What They’re Going Through:
Mentally, they’re ping-ponging between ten ideas before breakfast. They’re in innovation mode—hungry to create, speak, teach, or just think out loud until it makes sense. It’s not scatterbrained—it’s strategy, but with jazz hands.
How to Love Them Through It:
Support their weird ideas before the world does. Ask questions that help shape their thoughts, not shrink them. Don’t expect them to stick to one plan—this is their ideation season. Encourage their creativity and remind them that their voice has value even in the brainstorming phase.",
3♦,"What They’re Going Through:
They’re pivoting, evolving, and remixing the way they make money. Traditional paths? Boring. Predictable income? Over it. They want their coins to reflect their creativity and their soul. This is the entrepreneur energy with glitter on it.
How to Love Them Through It:
Be hype crew and grounding force all in one. Say things like, “Yes, AND how can I support you?” Let them talk out their dreams—even if it sounds like five different businesses at once. Remind them that building something new doesn’t mean they’re flaky—it means they’re free.",
3♠,"What They’re Going Through:
Everything’s shifting—work, health, energy, priorities. They’re figuring out how to build something sustainable without losing themselves. This is a “burn it down and rebuild it softer” moment. Nothing is certain, except that change is the new non-negotiable.
How to Love Them Through It:
Don’t try to hold them to past versions of themselves. Ask, “What feels right in your body today?” more than “What’s the plan?” Help them prioritize rest, rituals, and sanity over hustle. And if they’re moody, offer grace—not guilt. Growth is messy. So is healing.",
4♥,"What They’re Going Through:
They want to feel emotionally safe, not just loved. This energy is all about building real roots—connection that doesn’t ghost when things get hard. They’re asking: “Who’s actually in my corner?” If it feels shaky, they’re pulling back to protect their peace.
How to Love Them Through It:
Be consistent. Show up. Speak from your heart, not your ego. They need loyalty, not lip service. Small gestures matter—texts, check-ins, remembering the little things. Make them feel emotionally held, not emotionally responsible for keeping the whole relationship alive.",
